@Glenda, Plan 9
@Konqi, Katie, Kandalf, KDE
@Beastie, BSD
#Tux, Tuz, Linux
Wilber, GIMP
Silme, Drupal
Python, Python
ThunderBird, Mozilla Thunderbird
Geeko, SUSE
Sheep, Workrave
Squirrel, SPIP
#Firefox, Firefox
Hexley, Darwin
Pig, Snort
Pidgeon, Pidgin
ElePHPant, PHP
OpenOffice, Seagulls
Wildebeest, GNU
Hedgehog, NuFW
Camel, Camelia, Perl
Belenos, BeleniX
Kitty, AROS
Skalia, MySQL
@Puffy, OpenBSD
Larry the Cow, Gentoo Linux
Giraffe, Nexenta
@Schilli, SchilliX
